destination,destination_name
1603149,능인선원
126486,도산공원
126525,서울 선릉(성종과 정현왕후)과 정릉(중종) [유네스코 세계문화유산]
987720,신사동 가로수길
126823,압구정 로데오거리
229901,한국종합무역센터(코엑스)
1366921,광진교 8번가
127375,길동생태공원
126519,서울 암사동 유적
127376,천호공원
250252,한강시민공원 광나루지구(광나루한강공원)
822384,북서울 꿈의숲
866393,오동근린공원
809490,강서습지생태공원
774675,겸재정선미술관
126824,구암공원
126480,관악산
756590,관악산공원 야외식물원
756600,삼성산성지
128015,서울 신림동 민속순대타운
126490,서울어린이대공원
129552,아차산
742972,아차산생태공원
2401757,자양동 양꼬치거리 (중국음식문화거리)
1030763,한강시민공원 뚝섬지구(뚝섬한강공원)
814255,온수공원
130720,평강성서유물박물관
126482,불암산
126526,서울 태릉(문정왕후)과 강릉(인순왕후) [유네스코 세계문화유산]
1866427,서울시립 북서울미술관
126483,수락산
2505927,피노파밀리아
2033802,둘리뮤지엄
126500,홍릉수목원
126521,국립서울현충원
132216,노량진수산물도매시장
127940,보라매공원
2499807,망원시장
128021,월드컵공원
127859,한강시민공원 난지지구(난지한강공원)
1059638,한강시민공원 망원지구(망원한강공원)
781031,홍대
128028,백련사(서울)
126503,봉원사(서울)
128622,서대문독립공원
130448,서대문자연사박물관
2357761,구룡산(서울)
753981,몽마르뜨공원
1021339,서래마을
970052,세빛섬
1131275,양재 시민의숲
827585,양재천 생태공원
125452,청계산
970342,한강시민공원 잠원지구(잠원한강공원)
753994,살곶이체육공원
128611,서울숲
1874105,응봉산(서울)
1395466,만해한용운심우장
250396,"서울 의릉(경종,선의왕후) [유네스코 세계문화유산]"
127616,서울 정릉(신덕왕후) [유네스코 세계문화유산]
126826,성락원(서울)
126498,롯데월드
127525,서울 몽촌토성
126532,올림픽공원
970460,한강시민공원 잠실지구(잠실한강공원)
1265735,서서울호수공원
1114020,파리공원
2037026,대림중앙시장
127955,여의도공원
809596,여의도샛강생태공원
749355,영등포 신길동 홍어거리
1059479,한강시민공원 여의도지구(여의도한강공원)
129703,국립중앙박물관
126535,남산서울타워
126999,이태원 관광특구
130431,전쟁기념관
127220,북한산국립공원(서울)
713110,응암동 감자국 거리
126508,경복궁
126484,경희궁
132183,광장시장
126534,대학로
809372,백사실계곡
126537,북촌한옥마을
250147,삼청동길
130361,서울역사박물관
264353,인사동
126510,종묘 [유네스코 세계문화유산]
127642,창덕궁과 후원 [유네스코 세계문화유산]
126533,청와대 앞길
132180,남대문시장
128776,남산 케이블카
126747,남산골한옥마을
126509,덕수궁
1906334,동대문역사문화공원
264311,명동
250364,문화역 서울 284
273746,황학동 벼룩시장 (도깨비시장 / 만물시장)
1115042,봉화산(서울)
814123,용마산
