destination,destination_name,large_category,middle_category,small_category,large_category_name,middle_category_name,small_category_name,x,y
1603149,능인선원,A02,A0201,A02010800,인문(문화/예술/역사),역사관광지,사찰,127.052503,37.471689
128028,백련사(서울),A02,A0201,A02010800,인문(문화/예술/역사),역사관광지,사찰,126.928011,37.585987
126503,봉원사(서울),A02,A0201,A02010800,인문(문화/예술/역사),역사관광지,사찰,126.94694,37.572345
126525,서울 선릉(성종과 정현왕후)과 정릉(중종) [유네스코 세계문화유산],A02,A0201,A02010700,인문(문화/예술/역사),역사관광지,유적지/사적지,127.049433,37.507101
126519,서울 암사동 유적,A02,A0201,A02010700,인문(문화/예술/역사),역사관광지,유적지/사적지,127.130924,37.560513
126526,서울 태릉(문정왕후)과 강릉(인순왕후) [유네스코 세계문화유산],A02,A0201,A02010700,인문(문화/예술/역사),역사관광지,유적지/사적지,127.097158,37.63414
126521,국립서울현충원,A02,A0201,A02010700,인문(문화/예술/역사),역사관광지,유적지/사적지,126.973251,37.501356
250396,"서울 의릉(경종,선의왕후) [유네스코 세계문화유산]",A02,A0201,A02010700,인문(문화/예술/역사),역사관광지,유적지/사적지,127.058235,37.603549
127616,서울 정릉(신덕왕후) [유네스코 세계문화유산],A02,A0201,A02010700,인문(문화/예술/역사),역사관광지,유적지/사적지,127.006345,37.602351
126510,종묘 [유네스코 세계문화유산],A02,A0201,A02010700,인문(문화/예술/역사),역사관광지,유적지/사적지,126.994836,37.57312
250364,문화역 서울 284,A02,A0201,A02010700,인문(문화/예술/역사),역사관광지,유적지/사적지,126.972097,37.556044
756600,삼성산성지,A02,A0201,A02010900,인문(문화/예술/역사),역사관광지,종교성지,126.929309,37.457016
1395466,만해한용운심우장,A02,A0201,A02010400,인문(문화/예술/역사),역사관광지,고택,126.991691,37.593532
126826,성락원(서울),A02,A0201,A02010500,인문(문화/예술/역사),역사관광지,생가,126.999368,37.596504
127525,서울 몽촌토성,A02,A0201,A02010200,인문(문화/예술/역사),역사관광지,성,127.119429,37.521981
126508,경복궁,A02,A0201,A02010100,인문(문화/예술/역사),역사관광지,고궁,126.976724,37.580186
126484,경희궁,A02,A0201,A02010100,인문(문화/예술/역사),역사관광지,고궁,126.968508,37.570443
127642,창덕궁과 후원 [유네스코 세계문화유산],A02,A0201,A02010100,인문(문화/예술/역사),역사관광지,고궁,126.991989,37.580958
126509,덕수궁,A02,A0201,A02010100,인문(문화/예술/역사),역사관광지,고궁,126.974916,37.565804
126537,북촌한옥마을,A02,A0201,A02010600,인문(문화/예술/역사),역사관광지,민속마을,126.986425,37.579161
126747,남산골한옥마을,A02,A0201,A02010600,인문(문화/예술/역사),역사관광지,민속마을,126.994006,37.559125
126486,도산공원,A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,127.033812,37.521463
127376,천호공원,A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,127.126936,37.544723
250252,한강시민공원 광나루지구(광나루한강공원),A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,127.122258,37.54997
822384,북서울 꿈의숲,A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,127.041239,37.621143000000004
866393,오동근린공원,A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,127.031542,37.631059
126824,구암공원,A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,126.852852,37.567716
126490,서울어린이대공원,A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,127.080729,37.549422
1030763,한강시민공원 뚝섬지구(뚝섬한강공원),A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,127.073974,37.529407
814255,온수공원,A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,126.837358,37.499962
127940,보라매공원,A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,126.923161,37.492973
128021,월드컵공원,A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,126.881324,37.569499
127859,한강시민공원 난지지구(난지한강공원),A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,126.885413,37.56282
1059638,한강시민공원 망원지구(망원한강공원),A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,126.900665,37.551399
753981,몽마르뜨공원,A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,127.00374,37.495544
